State	Filed week ended	Initial Claims	Reflecting Week Ended	Continued Claims	Covered Employment	Insured Unemployment Rate
Virginia	01/25/2020	3,059	01/18/2020	21,661	3,731,069	0.58
Virginia	02/01/2020	2,575	01/25/2020	22,263	3,731,069	0.60
Virginia	02/08/2020	3,097	02/01/2020	22,049	3,731,069	0.59
Virginia	02/15/2020	2,693	02/08/2020	22,481	3,731,069	0.60
Virginia	02/22/2020	2,079	02/15/2020	22,493	3,731,069	0.60
Virginia	02/29/2020	3,267	02/22/2020	22,203	3,731,069	0.60
Virginia	03/07/2020	2,527	02/29/2020	22,714	3,731,069	0.61
Virginia	03/14/2020	2,706	03/07/2020	21,336	3,731,069	0.57
Virginia	03/21/2020	46,277	03/14/2020	21,628	3,731,069	0.58
Virginia	03/28/2020	112,497	03/21/2020	41,827	3,731,069	1.12
Virginia	04/04/2020	147,369	03/28/2020	133,184	3,731,069	3.57
Virginia	04/11/2020	104,619	04/04/2020	236,791	3,731,069	6.35
Virginia	04/18/2020	82,729	04/11/2020	297,993	3,739,821	7.97
Virginia	04/25/2020	72,488	04/18/2020	341,295	3,739,821	9.13
Virginia	05/02/2020	59,631	04/25/2020	376,689	3,739,821	10.07
Virginia	05/09/2020	52,139	05/02/2020	392,673	3,739,821	10.50
Virginia	05/16/2020	44,699	05/09/2020	403,557	3,739,821	10.79
Virginia	05/23/2020	39,242	05/16/2020	402,926	3,739,821	10.77
Virginia	05/30/2020	31,379	05/23/2020	398,411	3,739,821	10.65
Virginia	06/06/2020	29,231	05/30/2020	396,056	3,739,821	10.59
Virginia	06/13/2020	27,186	06/06/2020	386,893	3,739,821	10.35
Virginia	06/20/2020	25,293	06/13/2020	375,579	3,739,821	10.04
Virginia	06/27/2020	31,955	06/20/2020	366,714	3,739,821	9.81
Virginia	07/04/2020	31,825	06/27/2020	378,607	3,739,821	10.12
Virginia	07/11/2020	32,292	07/04/2020	372,070	3,751,738	9.92
Washington	01/04/2020	10,024	12/28/2019	70,363	3,317,884	2.12
Washington	01/11/2020	9,069	01/04/2020	70,214	3,333,838	2.11
Washington	01/18/2020	9,079	01/11/2020	65,903	3,333,838	1.98
Washington	01/25/2020	8,072	01/18/2020	67,705	3,333,838	2.03
Washington	02/01/2020	6,619	01/25/2020	65,260	3,333,838	1.96
Washington	02/08/2020	7,161	02/01/2020	64,144	3,333,838	1.92
Washington	02/15/2020	6,311	02/08/2020	61,819	3,333,838	1.85
Washington	02/22/2020	5,585	02/15/2020	59,819	3,333,838	1.79
Washington	02/29/2020	5,770	02/22/2020	58,586	3,333,838	1.76
Washington	03/07/2020	6,616	02/29/2020	56,513	3,333,838	1.70
Washington	03/14/2020	14,240	03/07/2020	55,588	3,333,838	1.67
Washington	03/21/2020	129,909	03/14/2020	62,623	3,333,838	1.88
Washington	03/28/2020	182,849	03/21/2020	158,025	3,333,838	4.74
Washington	04/04/2020	171,252	03/28/2020	309,411	3,333,838	9.28
Washington	04/11/2020	144,455	04/04/2020	442,936	3,351,028	13.22
Washington	04/18/2020	83,475	04/11/2020	535,185	3,351,028	15.97
Washington	04/25/2020	139,505	04/18/2020	573,374	3,351,028	17.11
Washington	05/02/2020	102,216	04/25/2020	604,048	3,351,028	18.03
Washington	05/09/2020	110,831	05/02/2020	739,795	3,351,028	22.08
Washington	05/16/2020	140,119	05/09/2020	1,045,456	3,351,028	31.20
Washington	05/23/2020	49,436	05/16/2020	593,287	3,351,028	17.70
Washington	05/30/2020	31,929	05/23/2020	479,768	3,351,028	14.32
Washington	06/06/2020	30,677	05/30/2020	438,156	3,351,028	13.08
Washington	06/13/2020	30,217	06/06/2020	410,204	3,351,028	12.24
Washington	06/20/2020	30,793	06/13/2020	418,459	3,351,028	12.49
Washington	06/27/2020	33,266	06/20/2020	416,604	3,351,028	12.43
Washington	07/04/2020	29,506	06/27/2020	380,975	3,351,028	11.37
Washington	07/11/2020	45,622	07/04/2020	387,558	3,383,128	11.46
West Virginia	01/04/2020	1,564	12/28/2019	15,887	670,192	2.37
West Virginia	01/11/2020	2,638	01/04/2020	18,026	670,051	2.69
West Virginia	01/18/2020	1,895	01/11/2020	17,681	670,051	2.64
West Virginia	01/25/2020	1,290	01/18/2020	16,745	670,051	2.50
West Virginia	02/01/2020	1,364	01/25/2020	16,905	670,051	2.52
West Virginia	02/08/2020	1,206	02/01/2020	16,588	670,051	2.48
West Virginia	02/15/2020	1,172	02/08/2020	16,856	670,051	2.52
West Virginia	02/22/2020	1,207	02/15/2020	17,355	670,051	2.59
West Virginia	02/29/2020	1,108	02/22/2020	16,797	670,051	2.51
West Virginia	03/07/2020	1,033	02/29/2020	16,110	670,051	2.40
West Virginia	03/14/2020	865	03/07/2020	15,394	670,051	2.30
West Virginia	03/21/2020	3,536	03/14/2020	14,154	670,051	2.11
West Virginia	03/28/2020	14,523	03/21/2020	21,145	670,051	3.16
West Virginia	04/04/2020	14,494	03/28/2020	36,690	670,051	5.48
West Virginia	04/11/2020	14,944	04/04/2020	48,597	667,871	7.28
West Virginia	04/18/2020	46,755	04/11/2020	96,128	667,871	14.39
West Virginia	04/25/2020	29,818	04/18/2020	146,566	667,871	21.95
West Virginia	05/02/2020	13,227	04/25/2020	110,377	667,871	16.53
West Virginia	05/09/2020	6,045	05/02/2020	107,405	667,871	16.08
West Virginia	05/16/2020	5,026	05/09/2020	98,794	667,871	14.79
West Virginia	05/23/2020	4,904	05/16/2020	93,086	667,871	13.94
West Virginia	05/30/2020	4,685	05/23/2020	84,610	667,871	12.67
West Virginia	06/06/2020	4,413	05/30/2020	83,162	667,871	12.45
West Virginia	06/13/2020	4,327	06/06/2020	75,236	667,871	11.27
West Virginia	06/20/2020	3,756	06/13/2020	70,276	667,871	10.52
West Virginia	06/27/2020	3,532	06/20/2020	69,096	667,871	10.35
West Virginia	07/04/2020	3,330	06/27/2020	65,556	667,871	9.82
West Virginia	07/11/2020	4,070	07/04/2020	64,342	664,212	9.69
Wisconsin	01/04/2020	12,854	12/28/2019	49,605	2,848,173	1.74
Wisconsin	01/11/2020	8,255	01/04/2020	53,305	2,851,929	1.87
Wisconsin	01/18/2020	6,388	01/11/2020	44,776	2,851,929	1.57
Wisconsin	01/25/2020	6,134	01/18/2020	44,077	2,851,929	1.55
Wisconsin	02/01/2020	6,280	01/25/2020	44,425	2,851,929	1.56
Wisconsin	02/08/2020	6,579	02/01/2020	44,477	2,851,929	1.56
Wisconsin	02/15/2020	5,808	02/08/2020	44,163	2,851,929	1.55
Wisconsin	02/22/2020	6,098	02/15/2020	43,996	2,851,929	1.54
Wisconsin	02/29/2020	5,658	02/22/2020	43,574	2,851,929	1.53
Wisconsin	03/07/2020	5,052	02/29/2020	42,337	2,851,929	1.48
Wisconsin	03/14/2020	5,190	03/07/2020	40,738	2,851,929	1.43
Wisconsin	03/21/2020	51,031	03/14/2020	43,607	2,851,929	1.53
Wisconsin	03/28/2020	110,934	03/21/2020	99,574	2,851,929	3.49
Wisconsin	04/04/2020	104,823	03/28/2020	208,387	2,851,929	7.31
Wisconsin	04/11/2020	70,000	04/04/2020	262,847	2,853,837	9.21
Wisconsin	04/18/2020	55,883	04/11/2020	299,532	2,853,837	10.50
Wisconsin	04/25/2020	49,993	04/18/2020	321,063	2,853,837	11.25
Wisconsin	05/02/2020	37,885	04/25/2020	314,025	2,853,837	11.00
Wisconsin	05/09/2020	38,710	05/02/2020	313,248	2,853,837	10.98
Wisconsin	05/16/2020	31,287	05/09/2020	308,397	2,853,837	10.81
Wisconsin	05/23/2020	28,967	05/16/2020	291,677	2,853,837	10.22
Wisconsin	05/30/2020	24,661	05/23/2020	269,678	2,853,837	9.45
Wisconsin	06/06/2020	25,047	05/30/2020	255,805	2,853,837	8.96
Wisconsin	06/13/2020	25,543	06/06/2020	238,528	2,853,837	8.36
Wisconsin	06/20/2020	25,428	06/13/2020	225,424	2,853,837	7.90
Wisconsin	06/27/2020	24,925	06/20/2020	222,897	2,853,837	7.81
Wisconsin	07/04/2020	27,385	06/27/2020	218,553	2,853,837	7.66
Wisconsin	07/11/2020	29,051	07/04/2020	224,765	2,855,007	7.87
Wyoming	01/04/2020	662	12/28/2019	3,219	267,362	1.20
Wyoming	01/11/2020	829	01/04/2020	3,302	268,518	1.23
Wyoming	01/18/2020	636	01/11/2020	3,301	268,518	1.23
Wyoming	01/25/2020	531	01/18/2020	3,354	268,518	1.25
Wyoming	02/01/2020	529	01/25/2020	3,475	268,518	1.29
Wyoming	02/08/2020	589	02/01/2020	3,507	268,518	1.31
Wyoming	02/15/2020	598	02/08/2020	3,699	268,518	1.38
Wyoming	02/22/2020	389	02/15/2020	3,611	268,518	1.34
Wyoming	02/29/2020	471	02/22/2020	3,543	268,518	1.32
Wyoming	03/07/2020	534	02/29/2020	3,508	268,518	1.31
Wyoming	03/14/2020	517	03/07/2020	3,375	268,518	1.26
Wyoming	03/21/2020	3,653	03/14/2020	3,197	268,518	1.19
Wyoming	03/28/2020	6,396	03/21/2020	4,519	268,518	1.68
Wyoming	04/04/2020	6,543	03/28/2020	7,790	268,518	2.90
Wyoming	04/11/2020	5,794	04/04/2020	11,212	270,013	4.15
Wyoming	04/18/2020	4,381	04/11/2020	14,302	270,013	5.30
Wyoming	04/25/2020	3,497	04/18/2020	16,566	270,013	6.14
Wyoming	05/02/2020	2,854	04/25/2020	17,521	270,013	6.49
Wyoming	05/09/2020	3,297	05/02/2020	17,928	270,013	6.64
Wyoming	05/16/2020	2,303	05/09/2020	17,335	270,013	6.42
Wyoming	05/23/2020	2,800	05/16/2020	17,631	270,013	6.53
Wyoming	05/30/2020	2,421	05/23/2020	15,853	270,013	5.87
Wyoming	06/06/2020	2,013	05/30/2020	15,552	270,013	5.76
Wyoming	06/13/2020	1,539	06/06/2020	15,371	270,013	5.69
Wyoming	06/20/2020	1,402	06/13/2020	15,070	270,013	5.58
Wyoming	06/27/2020	1,418	06/20/2020	14,494	270,013	5.37
Wyoming	07/04/2020	1,338	06/27/2020	14,048	270,013	5.20
Wyoming	07/11/2020	1,485	07/04/2020	13,711	269,607	5.09
